Name;Market Category;Seller;Ranking (Legal/Illegal/Depends);Reason
TRENBOLONE ACETATE 100MG-MEDITECH - 10ML VIAL;Steroids;aussieempire;depends;illegal to use in the US and several EU MemberStates and Asian countries for muscle building
Testosterone Cypionate 250 Meditech;Steroids;aussieempire;legal;is a controlled substance in the US, prescription drug 
SUSTANON-250 (Testosterone blend);Steroids;aussieempire;legal;the purchaser needs to be 18y old, it is legal to buy and sell without prescription
1000 Spotify Premium Plays;Services;blackmarket;depends;Buying spotify premium plays is legal generally, however buying it from an unkown source that might have achieved the service illegal.
Add $20 Private System Social Media Services ;Services;blackmarket;depends;Depens on the policy of the platform that this social media services apply to, some social media platforms might forbit these kind of services.
Warzone RAT 1.84;Digital Products;BlueTor;depends;A remote access terminal could be used for remote admin but likely also for illegal purposes
Rafel-Rat # Hack Android Devices With More Advanced Features;Digital Products;BlueTor;depends;It highly depends on the use and if there is consent involved, but utilizing a remote access terminal is not illegal by itself
Book Safe Storage Box, with Security Combination Lock/Key;Counterfeit Items;Brianna_Tyler;legal;This is not an illegal item to posses or sell, therefore it is legal.
"THICK ASS GLASS 10"" Beaker Various colors ";Services;Brianna_Tyler;depends;At first glance, the product just seems like a normal Beaker that comes in various colors and with a credible price to think that it is completely legal. However, on the off-chance that this product is only specialized for chemical laboratories, requires a license or can only be purchased by organizations makes the product illegal.
4G Colobian Cocain 93%+ purity;Drugs & Chemicals;CaesarsPalace;illegal;Buying and importing cocain is illegal in NL
Ultimate Revenge Payback - Neg attack fuck up any;Services;canadapilot;depends;This is mostly illegal as the script is intended for TDoS attacks, however it is legal to buy and use it for example to check your phone capacity.
genesis.market invite;Fraud;CanadianSmoker12;legal;It would be illegal to buy botnet from the market
Hacked Walmart.com Login    ;Digital Products;Captain8;depends;If you use the credentials to impersonate somebody its illegal
Bypass and 2FA verification paypal, bank logs, google;Digital Products;Captain8;depends;The contents of this item are 3 videos, tutorials and tools - which only become illegal once used maliciously and without permission
Gamma hydroxybutyrate (GHB) liquid - lose weight and build muscle (10 ml) vial    ;Drugs & Chemicals;CommissionerAU;illegal;The possession and selling of it is illegal
Dichloromethane solvent 1L;Drugs & Chemicals;Constantylious;depends;Depends on the uscase of the solvent.
e-Whore SCAM v3 [Make $8-10k/month] UPDATED 2021;Digital Products;DangerousTomato;depends;Technically for educative purposes but on the basis of fraud, exploits, leaks, malwares etc with dubious intent
njRAT Final Edition;Digital Products;DangerousTomato;depends;"Could be classified as malware, could be classified as remote system admin tool - it depends on intent and consent. The description implies illegal use by the choice of words: ""remote"", ""victim"" etc."
Complete Check Fraud Cashout Guide;Digital Products;DangerousTomato;depends;Making fake Cheques and fake currencies is illegal in most countries
Android Mega RAT Pack;Digital Products;DangerousTomato;depends;A large pack of malwares that could be used both legally and illegally 
8 in 1 collection - learn all web developements;Services;DarknetWizard;depends;Buying this type of services is legal, however it seems that the seller is re-distributing the product which is illegal.
MOBILE DEVELOPMENT: Become a master and get rich;Services;DarknetWizard;illegal;If we take the seller's word for it, we can easily say that buying or selling this is illegal since the buyer themselves aknowledges the fact that they are selling pirated things.
6 IN 1 COLLECTION - AFFILIATE MARKETING, BRANDING, PASSIVE INCOME AND STRATEGIES;Services;DarknetWizard;depends;Depens on the copyright claims of the book and the origin of where the book was bought, maybe the book was stolen or re-written, in which case it makes this action illegal. The act of buying or selling a book is, otherwise, legal.
YOUTUBE: How To Become Rich || HQ eBook With ECourses ;Services;DarknetWizard;depends;If the courses are stolen or have a copy-right claim then buying or selling them is illegal, otherwise it is legal.
Automated sms verification sites;Digital Products;digitalworld;depends;The buyer can use the script for malicious intent, such as downloading the script on someone else's device. Buying the script however should be legal.
Fast Secured Bank to Bank Transfer;Services;DRAFTMAN;illegal;This might perhaps lie in the grey area, but on a market place such as this, without proper verification its very highly likely connected to dubious illegal activity at the very least.
DrFRAUDs Secret Books collections - 10000+ Books with many hidden, rare, banned books;Services;DrFRAUD511;depends;Selling Books is Legal, but it can also depend on multiple factor, but mainly on the policy of the original seller. For example re-selling the book might be illegal because of the terms of buying the book. It also depends if the seller is the official owner of the book, if the book is fake or not.
Blackhat master with private methods included;Services;DrFRAUD511;depends;Buying such services is not illegal, however the purpose or the type of information that is being disclosed here can lead to a problem which would deem this product illegal.
